name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Magadhi Mewa,151024,1,Kudlu Gate,4.1,"['Chaat', 'Sweets', 'Snacks', 'Desserts', 'Street Food', 'North Indian']",15000,22,22,22,Kudlu Gate,Free delight on orders above ₹675,Freebie,RESTAURANT,2200,
S S popular frozen stone,129552,1,Bellandur Sarjapur,3.8,"['Ice Cream', 'Beverages', 'Juices']",20000,44,44,44,Bellandur Sarjapur,Free delight on orders above ₹199,Freebie,RESTAURANT,4700,
TFA The Food Adda,129046,1,HSR,4.2,"['Fast Food', 'North Indian', 'Chinese']",35000,41,41,41,"Sector 2, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2500,
Biriyan,297429,1,HSR,4.3,['Indian'],26000,42,42,42,Periamet,Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2500,
Natural Ice Cream,248725,1,HSR,4.6,['Ice Cream'],15000,34,34,34,"7th Sector, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2500,
BalleLicious Kitchen,70039,1,Kudlu Gate,4.2,"['Punjabi', 'North Indian', 'Chinese', 'Mughlai', 'Desserts', 'Biryani']",25000,26,26,26,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Breakfast Express,220641,1,Kudlu Gate,4,"['Continental', 'North Indian', 'South Indian', 'Healthy Food', 'American', 'Beverages', 'British', 'Cafe', 'Combo', 'European', 'Desserts']",20000,30,30,30,Kudlu,60% off | Use DEAL60,Percentage,RESTAURANT,0,
The Biryani Life,210199,1,Kudlu Gate,3.3,"['Biryani', 'Mughlai', 'Indian']",25000,32,32,32,AECS Layout,60% off | Use DEAL60,Percentage,RESTAURANT,2200,
Khichdi Experiment,184156,1,HSR,4.4,"['Home Food', 'Healthy Food', 'Indian']",25000,32,32,32,"Link Rd, BDA Layout",60% off | Use DEAL60,Percentage,RESTAURANT,2200,
SLAY Coffee Bar,301584,1,HSR,4.7,"['Beverages', 'Cafe', 'Desserts']",20000,34,34,34,SECTOR 3,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
Keventers - Milkshakes & Ice Cream,85162,1,HSR,4.3,"['Beverages', 'Ice Cream', 'Desserts', 'Healthy Food']",30000,35,35,35,1ST SECTOR,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
Keventers - Milkshakes & Ice Cream,85162,1,HSR,4.3,"['Beverages', 'Ice Cream', 'Desserts', 'Healthy Food']",30000,35,35,35,1ST SECTOR,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
Healthful,310683,1,Kudlu Gate,3.8,"['Continental', 'Indian', 'Oriental', 'Healthy Food', 'Pan-Asian', 'Home Food', 'North Indian', 'Chinese', 'Desserts', 'Salads']",25000,39,39,39,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Susie's Burgers,215410,1,HSR,--,"['American', 'Fast Food']",30000,39,39,39,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
SLAY Coffee,219174,1,Kudlu Gate,4.5,"['Beverages', 'Cafe', 'Desserts']",20000,44,44,44,AECS Layout,60% off | Use DEAL60,Percentage,RESTAURANT,2200,
Cakebuy,38596,1,BTM,4.5,"['Desserts', 'Bakery', 'Ice Cream']",40000,46,46,46,Billekahalli,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Cakebuy,38596,1,BTM,4.5,"['Desserts', 'Bakery', 'Ice Cream']",40000,46,46,46,Billekahalli,60% off | Use DEAL60,Percentage,RESTAURANT,0,
FreshMenu,6907,1,HSR,4,"['Chinese', 'Continental', 'Italian', 'Mediterranean', 'Thai', 'Lebanese', 'American', 'Asian', 'Beverages', 'Bakery', 'Biryani', 'Cafe', 'Desserts', 'Mexican', 'North Indian', 'Salads', 'Pizzas']",25000,48,48,48,HSR 3rd Sector,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
Chandni Chowk,303803,1,Electronic City,4.1,"['Fast Food', 'Indian', 'Snacks']",15000,48,48,48,Electronic City,60% off | Use DEAL60,Percentage,RESTAURANT,3700,
Chandni Chowk,295763,1,HSR,3.9,"['Fast Food', 'Chaat', 'North Indian', 'Combo', 'Sweets', 'Snacks', 'Street Food']",15000,49,49,49,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
Namaste,241027,1,HSR,4.1,"['South Indian', 'Healthy Food', 'Thalis', 'Biryani', 'Fast Food', 'Desserts', 'Beverages', 'Indian']",10000,40,40,40,HSR,50% off on all orders,Percentage,RESTAURANT,2500,
Namaste,241027,1,HSR,4.1,"['South Indian', 'Healthy Food', 'Thalis', 'Biryani', 'Fast Food', 'Desserts', 'Beverages', 'Indian']",10000,40,40,40,HSR,50% off on all orders,Percentage,RESTAURANT,2500,
GHAR WALA KHANA,302418,1,Kudlu Gate,--,['Indian'],14900,28,28,28,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
PUNJAB TIME,302416,1,Kudlu Gate,--,"['Punjabi', 'North Indian']",9900,36,36,36,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
CHOLE BHATURA AND PARATHAS,302429,1,Kudlu Gate,--,"['Indian', 'Chinese']",15000,34,34,34,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
Sabzi Aur Roti,302428,1,Kudlu Gate,--,['Indian'],15000,28,28,28,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
RJ 14 KITCHEN,302431,1,Kudlu Gate,--,['Indian'],15000,24,24,24,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
GULSHAN KA DHABA,302672,1,Kudlu Gate,--,['Indian'],14900,44,44,44,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
89 EXPRESS DHABA,300446,1,Kudlu Gate,--,['Continental'],15000,29,29,29,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
GULSHAN KA DHABA,302672,1,Kudlu Gate,--,['Indian'],14900,44,44,44,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
89 EXPRESS DHABA,300446,1,Kudlu Gate,--,['Continental'],15000,29,29,29,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
Marwadi Chaat  Tiffin Services,300968,1,Kudlu Gate,--,"['Indian', 'North Indian']",15000,24,24,24,Kudlu Gate,50% off on all orders,Percentage,RESTAURANT,2200,
Sandwich Point,262749,1,HSR,4.3,['Indian'],9900,35,35,35,HSR,50% off on all orders,Percentage,RESTAURANT,2500,
Vegan Heat,46646,1,HSR,4,"['Healthy Food', 'Italian', 'South Indian', 'Desserts', 'Continental', 'Jain', 'American', 'Salads', 'Thai']",25500,47,47,47,Koramangala,50% off on all orders,Percentage,RESTAURANT,3700,
LunchBox,210200,1,Kudlu Gate,3.7,['North Indian'],30000,32,32,32,AECS Layout,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
The Good Bowl,210198,1,Kudlu Gate,--,"['Fast Food', 'North Indian']",40000,35,35,35,AECS Layout,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
Tata Cha,320944,1,HSR,4.3,"['Cafe', 'Beverages', 'Bakery', 'Chaat', 'Desserts', 'Fast Food', 'Healthy Food', 'Home Food', 'Maharashtrian', 'Snacks', 'Street Food', 'Sweets', 'Indian', 'Combo', 'Parsi']",10000,27,27,27,Sector 2,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
"FROST	&	FEATHER",280283,1,HSR,4,"['Pizzas', 'Beverages', 'Ice Cream', 'American', 'Continental', 'Desserts']",30000,34,34,34,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
Slurpy Shakes,59615,1,Bellandur Sarjapur,--,"['Beverages', 'Ice Cream', 'Desserts']",20000,31,31,31,Bellandur/Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Meal Studio,231932,1,HSR,4.2,"['North Indian', 'Indian', 'Combo', 'Desserts', 'Beverages', 'Home Food', 'Healthy Food', 'Thalis', 'South Indian']",30000,28,28,28,24th main Parangipalya,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Great Indian Khichdi,246632,1,HSR,4.3,"['Indian', 'Home Food', 'Healthy Food']",20000,28,28,28,"24th Cross Road,Sector 2",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Canteen Central,124852,1,HSR,4.2,"['Snacks', 'Fast Food', 'North Indian', 'South Indian']",20000,33,33,33,24th main Parangipalya,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Sandwich Eats,230259,1,HSR,4.2,"['Fast Food', 'Indian', 'Snacks', 'Beverages', 'Bakery', 'Desserts']",9900,38,38,38,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Smoodies,110402,1,HSR,4.3,"['Beverages', 'Healthy Food']",14000,34,34,34,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chai Point,10306,1,HSR,4.3,"['Bakery', 'Cafe', 'Combo', 'Beverages', 'Maharashtrian', 'Snacks', 'Street Food', 'South Indian', 'Punjabi', 'Fast Food']",15000,30,30,30,5th Main,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Cafe Coffee Day,29658,1,HSR,4.2,"['Beverages', 'Snacks', 'Desserts']",30000,37,37,37,Sector 1,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Cafe Coffee Day,29658,1,HSR,4.2,"['Beverages', 'Snacks', 'Desserts']",30000,37,37,37,Sector 1,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Adiga's,381,1,HSR,4.2,"['South Indian', 'North Indian', 'Chinese', 'Thalis', 'Fast Food', 'Juices', 'Desserts']",20000,36,36,36,7th Sector,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
A2B Veg,304,1,HSR,4.2,"['South Indian', 'North Indian', 'Sweets', 'Chinese']",45000,35,35,35,BDA Complex,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
A2B Veg,304,1,HSR,4.2,"['South Indian', 'North Indian', 'Sweets', 'Chinese']",45000,35,35,35,BDA Complex,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
BaHa Smoothie,333293,1,HSR,--,"['Healthy Food', 'Juices', 'Beverages', 'Snacks', 'Desserts']",40000,38,38,38,SECTOR 3,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Wow! Momo,244004,1,HSR,4.1,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,37,37,37,Kitchen HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
EatFit,272232,1,Bellandur Sarjapur,4.5,"['Biryani', 'North Indian']",27000,34,34,34,"5th Main, Iblur Village",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Chandni Chowk 2 Bangalore,317494,1,Arekere,3.9,"['Chinese', 'Indian']",30000,41,41,41,Arekere,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Meal Studio,231606,1,Bellandur Sarjapur,3.9,"['North Indian', 'Indian', 'Combo', 'Desserts', 'Beverages', 'Home Food', 'Healthy Food', 'Thalis', 'South Indian']",30000,43,43,43,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Canteen Central,124940,1,Bellandur Sarjapur,4.1,"['Snacks', 'Fast Food', 'North Indian', 'South Indian']",20000,39,39,39,Bellandur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chandni Chowk 2 Bangalore,317494,1,Arekere,3.9,"['Chinese', 'Indian']",30000,41,41,41,Arekere,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Meal Studio,231606,1,Bellandur Sarjapur,3.9,"['North Indian', 'Indian', 'Combo', 'Desserts', 'Beverages', 'Home Food', 'Healthy Food', 'Thalis', 'South Indian']",30000,43,43,43,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Canteen Central,124940,1,Bellandur Sarjapur,4.1,"['Snacks', 'Fast Food', 'North Indian', 'South Indian']",20000,39,39,39,Bellandur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
BUN MASKA CHAI,276736,1,Bellandur Sarjapur,3.4,"['Snacks', 'Beverages', 'Chinese', 'North Indian', 'Italian', 'Continental']",25000,46,46,46,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
